system:index,shapeGroup,shapeID,shapeName,shapeType,sum,.geo,source_file
00000000000000000027,BIH,43093233B37160773543814,Republika Srpska,ADM3,40.68139243125916,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000002c,BIH,43093233B1525260622948,Ribnik,ADM3,4.9135472774505615,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000047,BIH,43093233B55524282986143,Rogatica,ADM3,54.87506318092346,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000048,BIH,43093233B46745881019900,Rudo,ADM3,2.1208039003259995,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000070,BIH,43093233B99469517424409,Sanski Most,ADM3,21.87664425373077,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000050,BIH,43093233B99110432361813,Sapna,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000003d,BIH,43093233B18315039543713,Sokolac,ADM3,48.24973464012146,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000022,BIH,43093233B45245298150544,Srbac,ADM3,21.735004782676697,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000039,BIH,43093233B25636025166186,Srebrenica,ADM3,4.638357697281183,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000004d,BIH,43093233B95129910366582,Srebrenik,ADM3,42.970741391181946,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000057,BIH,43093233B88722992155367,Stari Grad,ADM3,97.14439574456684,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000006b,BIH,43093233B4939168284085,Stolac,ADM3,7.685234904289246,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000004f,BIH,43093233B12629528603893,Teočak,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000024,BIH,43093233B44678371024633,Teslić,ADM3,103.67691397666933,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000007a,BIH,43093233B76206910856157,Tešanj,ADM3,21.399855915705363,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000007,BIH,43093233B94877039995793,Tomislavgrad,ADM3,74.31258463859558,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000008b,BIH,43093233B64510687239445,Travnik,ADM3,55.620944946419954,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000037,BIH,43093233B75285091683358,Trebinje,ADM3,460.182461977005,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000058,BIH,43093233B93349249059789,Trnovo (BiH),ADM3,1.327633825002932,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000031,BIH,43093233B69491988207899,Trnovo (RS),ADM3,12.440303193821627,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000051,BIH,43093233B86865457565284,Tuzla,ADM3,725.6465165713254,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000002e,BIH,43093233B70226780521700,Ugljevik,ADM3,29.61038339138031,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000079,BIH,43093233B20831922927744,Usora,ADM3,20.98148324349348,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
